track_id,track_name,artists,popularity
7EF5JVgavoFlIW0kcxw9ka,Brook Green Suite: I. Prelude,"Gustav Holst, Czech Symphony Orchestra, Michaela Rózsa Růžičková",34
5xTYuXLJBfoJUwboawCviS,Cavatina: Sarabande,"Alexandre Tansman, Andrés Madariaga",32
6AGA4j46aZkdKmH8m40uFi,"Concerto in D Minor, BWV 974: II. Adagio","Johann Sebastian Bach, Mimosa",36
6innbibG3Td9uHOCZK0zM9,Antar (Nikolai Rimsky-Korsakov): 7. Allegretto,"Maurice Ravel, Czech Symphony Orchestra, Michaela Rózsa Růžičková",34
02b6gSdWFds8aEezFBQhEH,"Valse Sentimentale Op 51, No.6 (arr. for cello and harp)","Pyotr Ilyich Tchaikovsky, Steven Honigberg, Sonia Bize",44
7sYK79QGuMxGD4awfRH1GR,"Cello Suite No. 1 in G Major, BWV 1007: IV. Sarabande","Johann Sebastian Bach, Steven Honigberg",36
1DwtDbAdk0PgPk8Qx325V4,Cavatina: Barcarole,"Alexandre Tansman, Andrés Madariaga",32
2Y0BpDbuEK8ZyjezyFyRGQ,"The Nutcracker, Op. 71, Act I, Scene II: March","Pyotr Ilyich Tchaikovsky, The City of Prague Philharmonic Orchestra, Friedmann Riehle, Prague Philharmonic Orchestra",39
02YsxRqkJjhcbkncKW9qaz,"The Well-Tempered Clavier, Book 1: Prelude in C Major, BWV 846","Johann Sebastian Bach, Mimosa",37
4DZ3jNkIFpXwUH065EhqqC,Homenaje pour le Tombeau de Claude Debussy,"Manuel de Falla, Andrés Madariaga",32
41uSe6NMrbW7EjC6yE0ruU,"Waltzes, Op. 64: No. 2 in C-Sharp Minor. Tempo giusto","Frédéric Chopin, Audrey Abela",35
5gejjt3uQ3tiyvxnjLyVuR,"Prelude, BWV 998","Johann Sebastian Bach, Andrés Madariaga",33
22eBBaMxW95d4TOYY2sJKm,Il Barbiere di Siviglia: Overture,"Gioachino Rossini, Czech Symphony Orchestra, Michaela Rózsa Růžičková",36
17MJn9U4XuVwFPCJ2GRMVf,Brook Green Suite: II. Air,"Gustav Holst, Czech Symphony Orchestra, Michaela Rózsa Růžičková",35
3tGAQwQ00LRhpzRq7ju6Es,The Nutcracker Op. 71 XVa. Pas de deux - Intrada,"Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková",44
52c4CNbieur0mzK51HsY6e,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro","Johann Sebastian Bach, The City of Prague Philharmonic Orchestra, Richard Hein",34
72SxidFfvRJ4e0z6xq0O2k,The Nutcracker Op. 71 Final Waltz and Apotheosis,"Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková, Prague Philharmonic Orchestra",39
417uD2jzW3c4oTrOauWumy,"Sicilienne, Op. 78","Gabriel Fauré, Czech Symphony Orchestra, Michaela Rózsa Růžičková",36
5kT3la3jBmbsRBRzuCWsfn,Paquita: Variation 5: Allegro non troppo,"Ludwig Minkus, Alexander Tcherepnin, Czech Symphony Orchestra, Michaela Rózsa Růžičková",36
7ojOWM0Fi35E847JtxoQYn,Gymnopédie No.3,"Erik Satie, Mimosa",36
2xYsU5pDBqsDdzd2VHtWIr,"Cello Suite No. 2 in D Minor, BWV 1008: V. Menuets (1 & 2)","Johann Sebastian Bach, Steven Honigberg",33
7EDtwaY4gYsNW0C9O6DMyo,"2 Arabesques, L. 66: Arabesque No. 1","Claude Debussy, Theodore Lee",34
